PERIOD,PRODUCTGROUP,ReportingChannel,BRAND,Item,DISPLAY TECHNOL,DISPLAY SIZE,Resolution,LED,HD Types,Smart TV,CURVED,Signal Source,Sales Units,Sales Value EUR,Price EUR,Sales Value <LC>,Price <LC>,Sales Value USD,Price USD
January 2023,PTV/FLAT,Panelmarket,AIWA,AW320,LCD-DISPLAY,32,1366x768,LED,HD Ready,No Smart TV,NOT CURVED,n.a.,202,"43,625",216,"792,747","3,922","46,604",231
January 2023,PTV/FLAT,Panelmarket,AIWA,AW580,LCD-DISPLAY,58,1920x1080,LED,Full HD,No Smart TV,NOT CURVED,n.a.,137,"41,366",302,"751,696","5,487","44,191",323
January 2023,PTV/FLAT,Panelmarket,AIWA,AW500,LCD-DISPLAY,50,1920x1080,LED,Full HD,No Smart TV,NOT CURVED,n.a.,182,"75,269",414,"1,367,784","7,531","80,410",443
January 2023,PTV/FLAT,Panelmarket,AIWA,AW400,LCD-DISPLAY,40,1920x1080,LED,Full HD,No Smart TV,NOT CURVED,n.a.,124,"36,393",293,"661,322","5,333","38,878",314
January 2023,PTV/FLAT,Panelmarket,AIWA,AW390,LCD-DISPLAY,39,1366x768,LED,HD Ready,No Smart TV,NOT CURVED,n.a.,132,"17,553",133,"318,979","2,413","18,752",142
January 2023,PTV/FLAT,Panelmarket,AIWA,AW420,LCD-DISPLAY,42,1920x1080,LED,Full HD,No Smart TV,NOT CURVED,DVB-T/T2,40,"10,987",275,"199,656","4,991","11,737",293
January 2023,PTV/FLAT,Panelmarket,AIWA,AW600U,LCD-DISPLAY,60,3840x2160,LED,Ultra HD/4k (3840x2160p),No Smart TV,NOT CURVED,n.a.,3,"1,100",367,"19,997","6,666","1,176",392
January 2023,PTV/FLAT,Panelmarket,AIWA,AW550US/A,LCD-DISPLAY,55,3840x2160,LED,Ultra HD/4k (3840x2160p),Smart TV,NOT CURVED,DVB-T,1,440,440,"7,999","7,999",470,470
January 2023,PTV/FLAT,Panelmarket,CONDERE,32V01,LCD-DISPLAY,32,1366x768,LED,HD Ready,No Smart TV,NOT CURVED,DVB-T,15,"1,125",75,"20,435","1,362","1,201",80
January 2023,PTV/FLAT,Panelmarket,DIGIMARK,DGM-AE32,LCD-DISPLAY,32,1366x768,LED,HD Ready,No Smart TV,NOT CURVED,n.a.,28,"3,049",111,"55,410","2,009","3,257",118
January 2023,PTV/FLAT,Panelmarket,ECCO SHOES,LC-20,LCD-DISPLAY,19,1280x768,NO LED,HD Ready,No Smart TV,NOT CURVED,DVB-T,1,71,71,"1,299","1,299",76,76
January 2023,PTV/FLAT,Panelmarket,ITEL,A322L,LCD-DISPLAY,32,1366x768,LED,HD Ready,No Smart TV,NOT CURVED,DVB-T,88,"15,330",175,"278,570","3,173","16,377",187
January 2023,PTV/FLAT,Panelmarket,ITEL,G321,LCD-DISPLAY,31.5,1366x768,LED,HD Ready,Smart TV,NOT CURVED,DVB-T,176,"24,204",138,"439,824","2,499","25,857",147
January 2023,PTV/FLAT,Panelmarket,ITEL,S323,LCD-DISPLAY,32,1366x768,LED,HD Ready,Smart TV,NOT CURVED,DVB-T,82,"8,380",103,"152,287","1,866","8,953",110
January 2023,PTV/FLAT,Panelmarket,ITEL,G322,LCD-DISPLAY,32,1366x768,LED,HD Ready,Smart TV,NOT CURVED,n.a.,9,"2,266",264,"41,170","4,799","2,420",282
January 2023,PTV/FLAT,Panelmarket,ITEL,A3250,LCD-DISPLAY,32,1366x768,LED,HD Ready,No Smart TV,NOT CURVED,n.a.,330,"27,057",82,"491,677","1,489","28,905",88
January 2023,PTV/FLAT,Panelmarket,ITEL,A175,LCD-DISPLAY,17,1280x1024,LED,HD Ready,No Smart TV,NOT CURVED,n.a.,39,"1,593",41,"28,954",750,"1,702",44
January 2023,PTV/FLAT,Panelmarket,ITEL,A243L,LCD-DISPLAY,22,1680x1050,LED,HD Ready,No Smart TV,NOT CURVED,n.a.,30,"3,136",105,"56,984","1,916","3,350",113
January 2023,PTV/FLAT,Panelmarket,ITEL,S395,LCD-DISPLAY,39.5,1366x768,LED,HD Ready,No Smart TV,NOT CURVED,DVB-T/T2/S,21,"5,192",242,"94,355","4,399","5,547",259
January 2023,PTV/FLAT,Panelmarket,ITEL,A195,LCD-DISPLAY,19.5,n.a.,LED,HD Ready,No Smart TV,NOT CURVED,DVB-T,16,955,59,"17,353","1,065","1,020",63
January 2023,PTV/FLAT,Panelmarket,ITEL,S322,LCD-DISPLAY,32,1366x768,LED,HD Ready,Smart TV,NOT CURVED,DVB-T/T2/C,11,"1,287",122,"23,389","2,211","1,375",130
January 2023,PTV/FLAT,Panelmarket,ITEL,A324,LCD-DISPLAY,32,1366x768,LED,HD Ready,No Smart TV,NOT CURVED,DVB-T,47,"4,131",88,"75,074","1,597","4,413",94
January 2023,PTV/FLAT,Panelmarket,ITEL,G4050,LCD-DISPLAY,40,1920x1080,LED,Full HD,Smart TV,NOT CURVED,DVB-T,27,"5,823",216,"105,818","3,919","6,221",230
January 2023,PTV/FLAT,Panelmarket,ITEL,A321,LCD-DISPLAY,32,1366x768,LED,HD Ready,No Smart TV,NOT CURVED,DVB-T,2,270,135,"4,898","2,449",288,144
January 2023,PTV/FLAT,Panelmarket,ITEL,G551TE,LCD-DISPLAY,55,3840x2160,LED,Ultra HD/4k (3840x2160p),Smart TV,NOT CURVED,DVB-T/T2/S,2,748,374,"13,598","6,799",799,400
January 2023,PTV/FLAT,Panelmarket,JVC,LT-32N750,LCD-DISPLAY,32,1920x1080,LED,Full HD,Smart TV,NOT CURVED,n.a.,63,"8,892",141,"161,585","2,561","9,499",151
January 2023,PTV/FLAT,Panelmarket,JVC,LT-42N750,LCD-DISPLAY,42,1920x1080,LED,Full HD,Smart TV,NOT CURVED,DVB-T/T2,251,"48,966",195,"889,806","3,538","52,310",208
January 2023,PTV/FLAT,Panelmarket,JVC,LT-43N7125,LCD-DISPLAY,43,3840x2160,LED,Ultra HD/4k (3840x2160p),Smart TV,NOT CURVED,DVB-S,4,"1,180",295,"21,446","5,362","1,261",315
January 2023,PTV/FLAT,Panelmarket,JVC,LT-43N550,LCD-DISPLAY,43,1920x1080,LED,Full HD,No Smart TV,NOT CURVED,n.a.,348,"69,603",200,"1,264,811","3,631","74,356",213
January 2023,PTV/FLAT,Panelmarket,JVC,LT-55N775,LCD-DISPLAY,55,3840x2160,LED,Ultra HD/4k (3840x2160p),Smart TV,NOT CURVED,DVB-T,91,"32,903",362,"597,909","6,570","35,150",386
January 2023,PTV/FLAT,Panelmarket,JVC,LT-65N675,LCD-DISPLAY,65,3840x2160,LED,Ultra HD/4k (3840x2160p),Smart TV,NOT CURVED,n.a.,50,"32,605",647,"592,492","11,749","34,832",691
January 2023,PTV/FLAT,Panelmarket,JVC,LT40N530,LCD-DISPLAY,40,1366x768,LED,HD Ready,No Smart TV,NOT CURVED,DVB-T,89,"19,586",220,"355,921","3,999","20,924",235
January 2023,PTV/FLAT,Panelmarket,JVC,LT-60N7115,LCD-DISPLAY,60,3840x2160,LED,Ultra HD/4k (3840x2160p),Smart TV,NOT CURVED,DVB-T/T2,56,"24,642",440,"447,789","8,003","26,325",470
January 2023,PTV/FLAT,Panelmarket,JVC,LT-65N7115,LCD-DISPLAY,65,3840x2160,LED,Ultra HD/4k (3840x2160p),No Smart TV,NOT CURVED,DVB-T/T2,62,"33,978",548,"617,453","9,959","36,299",585
January 2023,PTV/FLAT,Panelmarket,JVC,LT-43N585,LCD-DISPLAY,43,1920x1080,LED,Full HD,Smart TV,NOT CURVED,DVB-T/T2,6,"1,298",216,"23,594","3,932","1,387",231
January 2023,PTV/FLAT,Panelmarket,JVC,LT-32N355,LCD-DISPLAY,32,1920x1080,LED,Full HD,No Smart TV,NOT CURVED,n.a.,36,"5,356",148,"97,328","2,681","5,722",158
January 2023,PTV/FLAT,Panelmarket,JVC,LT-40N5115,LCD-DISPLAY,40,1920x1080,LED,Full HD,Smart TV,NOT CURVED,DVB-T,128,"29,624",232,"538,322","4,213","31,647",248
January 2023,PTV/FLAT,Panelmarket,JVC,LT-58N785,LCD-DISPLAY,58,3840x2160,LED,Ultra HD/4k (3840x2160p),Smart TV,NOT CURVED,n.a.,27,"10,312",384,"187,382","6,977","11,016",410
January 2023,PTV/FLAT,Panelmarket,JVC,LT-32N3100,LCD-DISPLAY,32,1920x1080,LED,Full HD,Smart TV,NOT CURVED,n.a.,1,138,138,"2,499","2,499",147,147
January 2023,PTV/FLAT,Panelmarket,JVC,LT-65N675U,LCD-DISPLAY,65,3840x2160,LED,Ultra HD/4k (3840x2160p),Smart TV,NOT CURVED,DVB-T,125,"57,866",463,"1,051,531","8,412","61,818",495
January 2023,PTV/FLAT,Panelmarket,JVC,LT-55N775,LCD-DISPLAY,55,3840x2160,LED,Ultra HD/4k (3840x2160p),Smart TV,NOT CURVED,n.a.,78,"26,881",343,"488,479","6,236","28,717",367
January 2023,PTV/FLAT,Panelmarket,JVC,LT-70N7105A,LCD-DISPLAY,70,3840x2160,LED,Ultra HD/4k (3840x2160p),Smart TV,NOT CURVED,DVB-T/T2,1,415,671,"7,547","12,188",444,717
January 2023,PTV/FLAT,Panelmarket,JVC,LT-32N3115,LCD-DISPLAY,32,1366x768,LED,HD Ready,Smart TV,NOT CURVED,DVB-T,21,"3,438",164,"62,479","2,975","3,673",175
January 2023,PTV/FLAT,Panelmarket,JVC,LT-58N7125,LCD-DISPLAY,58,3840x2160,LED,Ultra HD/4k (3840x2160p),Smart TV,NOT CURVED,DVB-T/T2,19,"11,115",585,"201,983","10,631","11,874",625
January 2023,PTV/FLAT,Panelmarket,JVC,LT-50NQ7115,LCD-DISPLAY,50,3840x2160,LED,Ultra HD/4k (3840x2160p),Smart TV,NOT CURVED,DVB-T/T2,-3,"-1,100",367,"-19,997","6,666","-1,176",392
January 2023,PTV/FLAT,Panelmarket,JVC,LT-55N7105C,LCD-DISPLAY,55,3840x2160,LED,Ultra HD/4k (3840x2160p),Smart TV,NOT CURVED,n.a.,1,440,440,"7,999","7,999",470,470
January 2023,PTV/FLAT,Panelmarket,JVC,LT-65NQ6115,LCD-DISPLAY,70,3840x2160,LED,Ultra HD/4k (3840x2160p),Smart TV,NOT CURVED,DVB-T/T2,7,"3,852",550,"69,993","9,999","4,115",588
January 2023,PTV/FLAT,Panelmarket,JVC,43N5105C,LCD-DISPLAY,43,1920x1080,LED,Full HD,Smart TV,NOT CURVED,n.a.,3,748,215,"13,587","3,908",799,230
January 2023,PTV/FLAT,Panelmarket,JVC,LT-55NQ6115,LCD-DISPLAY,55,3840x2160,LED,Ultra HD/4k (3840x2160p),Smart TV,NOT CURVED,DVB-T/T2,0,-55,0,"-1,000",0,-59,0
January 2023,PTV/FLAT,Panelmarket,JVC,LT-50N550,LCD-DISPLAY,50,1920x1080,LED,Full HD,No Smart TV,NOT CURVED,DVB-T,10,"2,915",292,"52,972","5,297","3,114",311
January 2023,PTV/FLAT,Panelmarket,JVC,LT-50N750,LCD-DISPLAY,50,1920x1080,LED,Full HD,Smart TV,NOT CURVED,DVB-T/C,1,413,413,"7,499","7,499",441,441
January 2023,PTV/FLAT,Panelmarket,JVC,LT42N530,LCD-DISPLAY,42,1920x1080,LED,Full HD,No Smart TV,NOT CURVED,DVB-T/C,2,443,222,"8,052","4,026",473,237
January 2023,PTV/FLAT,Panelmarket,JVC,LT-55N875,LCD-DISPLAY,55,3840x2160,LED,Ultra HD/4k (3840x2160p),Smart TV,NOT CURVED,DVB-T,-1,-330,330,"-5,999","5,999",-353,353
January 2023,PTV/FLAT,Panelmarket,JVC,<Others>,,,,,,,,,-1,-369,369,"-6,699","6,699",-394,394
January 2023,PTV/FLAT,Panelmarket,LEXUCO,YLE-3201,LCD-DISPLAY,32,1366x768,LED,HD Ready,No Smart TV,NOT CURVED,DVB-T,11,"1,373",125,"24,950","2,268","1,467",133
January 2023,PTV/FLAT,Panelmarket,LG,55UQ75001LG,LCD-DISPLAY,55,3840x2160,LED,Ultra HD/4k (3840x2160p),Smart TV,NOT CURVED,DVB-T/T2/S/C,310,"156,916",506,"2,851,468","9,199","167,634",541
January 2023,PTV/FLAT,Panelmarket,LG,65NANO796QA,LCD-DISPLAY,65,3840x2160,LED,Ultra HD/4k (3840x2160p),Smart TV,NOT CURVED,DVB-T/T2/S/C,162,"141,611",872,"2,573,342","15,838","151,283",931
January 2023,PTV/FLAT,Panelmarket,LG,50UQ75001LG,LCD-DISPLAY,50,3840x2160,LED,Ultra HD/4k (3840x2160p),Smart TV,NOT CURVED,DVB-T/T2/S/C,125,"59,719",478,"1,085,213","8,689","63,798",511
January 2023,PTV/FLAT,Panelmarket,LG,65UQ75001LG,LCD-DISPLAY,65,3840x2160,LED,Ultra HD/4k (3840x2160p),Smart TV,NOT CURVED,DVB-T/T2/S/C,305,"205,696",674,"3,737,893","12,252","219,745",720
January 2023,PTV/FLAT,Panelmarket,LG,OLED55CS6LA,OLED-DISPLAY,55,3840x2160,NO LED,Ultra HD/4k (3840x2160p),Smart TV,NOT CURVED,DVB-T/T2/S/C,231,"274,198","1,188","4,982,698","21,580","292,926","1,269"
January 2023,PTV/FLAT,Panelmarket,LG,65QNED806QA,LCD-DISPLAY,65,3840x2160,LED,Ultra HD/4k (3840x2160p),Smart TV,NOT CURVED,DVB-T/T2/S/C,126,"144,649","1,145","2,628,542","20,813","154,528","1,224"
January 2023,PTV/FLAT,Panelmarket,LG,55NANO796QA,LCD-DISPLAY,55,3840x2160,LED,Ultra HD/4k (3840x2160p),Smart TV,NOT CURVED,DVB-T/T2/S/C,115,"78,845",688,"1,432,757","12,510","84,230",735
January 2023,PTV/FLAT,Panelmarket,LG,86UQ90006LC,LCD-DISPLAY,86,3840x2160,LED,Ultra HD/4k (3840x2160p),Smart TV,NOT CURVED,DVB-T/T2/S/C,37,"62,108","1,678","1,128,626","30,495","66,350","1,793"
January 2023,PTV/FLAT,Panelmarket,LG,43UP7500PVG,LCD-DISPLAY,43,3840x2160,LED,Ultra HD/4k (3840x2160p),Smart TV,NOT CURVED,DVB-T/T2/S/C,176,"72,309",411,"1,313,996","7,477","77,248",440
January 2023,PTV/FLAT,Panelmarket,LG,OLED55A1PVA,OLED-DISPLAY,55,3840x2160,NO LED,Ultra HD/4k (3840x2160p),Smart TV,NOT CURVED,DVB-T/T2/S/C,91,"83,686",923,"1,520,741","16,765","89,402",986
January 2023,PTV/FLAT,Panelmarket,LG,43UQ75001LG,LCD-DISPLAY,43,3840x2160,LED,Ultra HD/4k (3840x2160p),Smart TV,NOT CURVED,DVB-T/T2/S/C,24,"10,336",423,"187,831","7,679","11,042",451
January 2023,PTV/FLAT,Panelmarket,LG,75NANO796QA,LCD-DISPLAY,75,3840x2160,LED,Ultra HD/4k (3840x2160p),Smart TV,NOT CURVED,DVB-T/T2/S/C,32,"44,814","1,390","814,364","25,261","47,875","1,485"
January 2023,PTV/FLAT,Panelmarket,LG,50UP7500PVG,LCD-DISPLAY,50,3840x2160,LED,Ultra HD/4k (3840x2160p),Smart TV,NOT CURVED,DVB-T/T2/S/C,126,"55,556",441,"1,009,558","8,005","59,350",471
January 2023,PTV/FLAT,Panelmarket,LG,55UP7500PVG,LCD-DISPLAY,55,3840x2160,LED,Ultra HD/4k (3840x2160p),Smart TV,NOT CURVED,DVB-T/T2/S/C,112,"55,752",497,"1,013,117","9,032","59,560",531
January 2023,PTV/FLAT,Panelmarket,LG,55QNED806QA,LCD-DISPLAY,55,3840x2160,LED,Ultra HD/4k (3840x2160p),Smart TV,NOT CURVED,DVB-T/T2/S/C,25,"22,279",908,"404,843","16,504","23,800",970
January 2023,PTV/FLAT,Panelmarket,LG,86NANO796QA,LCD-DISPLAY,86,3840x2160,LED,Ultra HD/4k (3840x2160p),Smart TV,NOT CURVED,DVB-T/T2/S/C,20,"38,508","1,939","699,772","35,235","41,139","2,071"
January 2023,PTV/FLAT,Panelmarket,LG,43LM6370PVA,LCD-DISPLAY,43,1920x1080,LED,Full HD,Smart TV,NOT CURVED,DVB-T/T2/S/C,125,"48,182",385,"875,554","7,004","51,473",412
January 2023,PTV/FLAT,Panelmarket,LG,32LQ630B6LB,LCD-DISPLAY,32,1920x1080,LED,Full HD,Smart TV,NOT CURVED,DVB-T/T2/S/C,90,"18,288",203,"332,333","3,697","19,537",217
January 2023,PTV/FLAT,Panelmarket,LG,75UQ90006LC,LCD-DISPLAY,75,3840x2160,LED,Ultra HD/4k (3840x2160p),Smart TV,NOT CURVED,DVB-T/T2/S/C,69,"79,470","1,158","1,444,121","21,048","84,898","1,237"
January 2023,PTV/FLAT,Panelmarket,LG,OLED65CS6LA,OLED-DISPLAY,65,3840x2160,NO LED,Ultra HD/4k (3840x2160p),Smart TV,NOT CURVED,DVB-T/T2/S/C,33,"74,278","2,225","1,349,774","40,437","79,351","2,377"
January 2023,PTV/FLAT,Panelmarket,LG,75UP7550PVC,LCD-DISPLAY,75,3840x2160,LED,Ultra HD/4k (3840x2160p),Smart TV,NOT CURVED,DVB-T/T2/S/C,49,"52,753","1,076","958,631","19,556","56,357","1,150"
January 2023,PTV/FLAT,Panelmarket,LG,70UP7550PVD,LCD-DISPLAY,70,3840x2160,LED,Ultra HD/4k (3840x2160p),Smart TV,NOT CURVED,DVB-T/T2/S/C,100,"80,704",807,"1,466,543","14,657","86,216",862
January 2023,PTV/FLAT,Panelmarket,LG,65UP7500PVG,LCD-DISPLAY,65,3840x2160,LED,Ultra HD/4k (3840x2160p),Smart TV,NOT CURVED,DVB-T/T2/S/C,92,"57,027",620,"1,036,284","11,262","60,922",662
January 2023,PTV/FLAT,Panelmarket,LG,82UP8050PVB,LCD-DISPLAY,82,3840x2160,LED,Ultra HD/4k (3840x2160p),Smart TV,NOT CURVED,DVB-T/T2/S/C,10,"14,603","1,455","265,370","26,431","15,601","1,554"
January 2023,PTV/FLAT,Panelmarket,LG,OLED48C26LA,OLED-DISPLAY,48,3840x2160,NO LED,Ultra HD/4k (3840x2160p),Smart TV,NOT CURVED,DVB-T/T2/S/C,13,"15,931","1,225","289,489","22,268","17,019","1,309"
January 2023,PTV/FLAT,Panelmarket,LG,OLED55C1PVB,OLED-DISPLAY,55,3840x2160,NO LED,Ultra HD/4k (3840x2160p),Smart TV,NOT CURVED,DVB-T/T2/S/C,59,"65,394","1,107","1,188,340","20,121","69,861","1,183"
January 2023,PTV/FLAT,Panelmarket,LG,55NANO86VPA,LCD-DISPLAY,55,3840x2160,LED,Ultra HD/4k (3840x2160p),Smart TV,NOT CURVED,DVB-T/T2/S/C,9,"9,020","1,000","163,904","18,171","9,636","1,068"
January 2023,PTV/FLAT,Panelmarket,LG,70UQ90006LC,LCD-DISPLAY,70,3840x2160,LED,Ultra HD/4k (3840x2160p),Smart TV,NOT CURVED,DVB-T/T2/S/C,38,"32,428",857,"589,285","15,573","34,643",916
January 2023,PTV/FLAT,Panelmarket,LG,OLED48C1PVB,OLED-DISPLAY,48,3840x2160,NO LED,Ultra HD/4k (3840x2160p),Smart TV,NOT CURVED,DVB-T/T2/S/C,21,"20,138",937,"365,940","17,028","21,513","1,001"
January 2023,PTV/FLAT,Panelmarket,LG,55NANO75VPA,LCD-DISPLAY,55,3840x2160,LED,Ultra HD/4k (3840x2160p),Smart TV,NOT CURVED,DVB-T/T2/S/C,24,"13,860",577,"251,856","10,477","14,806",616
January 2023,PTV/FLAT,Panelmarket,LG,55NANO80VPA,LCD-DISPLAY,55,3840x2160,LED,Ultra HD/4k (3840x2160p),Smart TV,NOT CURVED,DVB-T/T2/S/C,7,"5,775",823,"104,947","14,950","6,170",879
January 2023,PTV/FLAT,Panelmarket,LG,55UN7100PVA,LCD-DISPLAY,55,3840x2160,LED,Ultra HD/4k (3840x2160p),Smart TV,NOT CURVED,DVB-T/T2/S/C,38,"29,119",766,"529,156","13,925","31,108",819
January 2023,PTV/FLAT,Panelmarket,LG,OLED55A26LA,OLED-DISPLAY,55,3840x2160,NO LED,Ultra HD/4k (3840x2160p),Smart TV,NOT CURVED,DVB-T/T2/S/C,3,"3,819","1,273","69,397","23,132","4,080","1,360"
January 2023,PTV/FLAT,Panelmarket,LG,86NANO75VPA,LCD-DISPLAY,86,3840x2160,LED,Ultra HD/4k (3840x2160p),Smart TV,NOT CURVED,DVB-T/T2/S/C,20,"37,807","1,863","687,026","33,861","40,389","1,991"
January 2023,PTV/FLAT,Panelmarket,LG,75NANO80VPA,LCD-DISPLAY,75,3840x2160,LED,Ultra HD/4k (3840x2160p),Smart TV,NOT CURVED,DVB-T/T2/S/C,7,"10,861","1,653","197,363","30,040","11,603","1,766"
January 2023,PTV/FLAT,Panelmarket,LG,OLED65G26LA,OLED-DISPLAY,65,3840x2160,NO LED,Ultra HD/4k (3840x2160p),Smart TV,NOT CURVED,DVB-T/T2/S/C,7,"21,181","3,013","384,898","54,751","22,628","3,219"
January 2023,PTV/FLAT,Panelmarket,LG,75NANO85VPA,LCD-DISPLAY,75,3840x2160,LED,Ultra HD/4k (3840x2160p),Smart TV,NOT CURVED,DVB-T/T2/S,11,"21,982","2,025","399,446","36,790","23,483","2,163"
January 2023,PTV/FLAT,Panelmarket,LG,OLED65A26LA,OLED-DISPLAY,65,3840x2160,NO LED,Ultra HD/4k (3840x2160p),Smart TV,NOT CURVED,DVB-T/T2/S/C,11,"23,827","2,166","432,989","39,363","25,455","2,314"
January 2023,PTV/FLAT,Panelmarket,LG,OLED65G1PVA,OLED-DISPLAY,65,3840x2160,NO LED,Ultra HD/4k (3840x2160p),Smart TV,NOT CURVED,DVB-T/T2/S/C,0,-85,"-4,265","-1,550","-77,501",-91,"-4,556"
January 2023,PTV/FLAT,Panelmarket,LG,65NANO75VPA,LCD-DISPLAY,65,3840x2160,LED,Ultra HD/4k (3840x2160p),Smart TV,NOT CURVED,DVB-T/T2/S/C,19,"13,899",732,"252,563","13,293","14,848",781
January 2023,PTV/FLAT,Panelmarket,LG,86QNED856QA,LCD-DISPLAY,86,3840x2160,LED,Ultra HD/4k (3840x2160p),Smart TV,NOT CURVED,DVB-T/T2/S/C,1,"4,208","4,208","76,459","76,459","4,495","4,495"
January 2023,PTV/FLAT,Panelmarket,LG,OLED65A1PVA,OLED-DISPLAY,65,3840x2160,NO LED,Ultra HD/4k (3840x2160p),Smart TV,NOT CURVED,DVB-T/T2/S/C,3,"4,353","1,694","79,097","30,777","4,650","1,809"
January 2023,PTV/FLAT,Panelmarket,LG,75NANO75VPA,LCD-DISPLAY,75,3840x2160,LED,Ultra HD/4k (3840x2160p),Smart TV,NOT CURVED,DVB-T/T2/S/C,12,"13,820","1,150","251,138","20,893","14,764","1,228"
January 2023,PTV/FLAT,Panelmarket,LG,OLED77G1PVA,OLED-DISPLAY,77,3840x2160,NO LED,Ultra HD/4k (3840x2160p),Smart TV,NOT CURVED,DVB-T/T2/S/C,-1,"-4,953","4,953","-89,999","89,999","-5,291","5,291"
January 2023,PTV/FLAT,Panelmarket,LG,75QNED90VPA,LCD-DISPLAY,75,3840x2160,LED,Ultra HD/4k (3840x2160p),Smart TV,NOT CURVED,DVB-T/T2/S/C,9,"23,773","2,641","431,995","47,999","25,396","2,822"
January 2023,PTV/FLAT,Panelmarket,LG,55UK6300PVB,LCD-DISPLAY,55,3840x2160,LED,Ultra HD/4k (3840x2160p),Smart TV,NOT CURVED,DVB-T/T2/S/C,4,"2,008",502,"36,496","9,124","2,146",536
January 2023,PTV/FLAT,Panelmarket,LG,OLED55C1PVA,OLED-DISPLAY,55,3840x2160,NO LED,Ultra HD/4k (3840x2160p),Smart TV,NOT CURVED,DVB-T/T2/S/C,1,"1,101","1,101","19,999","19,999","1,176","1,176"
January 2023,PTV/FLAT,Panelmarket,LG,OLED83C26LA,OLED-DISPLAY,83,3840x2160,NO LED,Ultra HD/4k (3840x2160p),Smart TV,NOT CURVED,DVB-T/T2/S/C,1,"9,881","7,979","179,564","145,000","10,556","8,524"
January 2023,PTV/FLAT,Panelmarket,LG,55QNED856QA,LCD-DISPLAY,55,3840x2160,LED,Ultra HD/4k (3840x2160p),Smart TV,NOT CURVED,DVB-T/T2/S/C,1,853,853,"15,500","15,500",911,911
January 2023,PTV/FLAT,Panelmarket,LG,55NANO80VNA,LCD-DISPLAY,55,3840x2160,LED,Ultra HD/4k (3840x2160p),Smart TV,NOT CURVED,DVB-T/T2/S/C,3,"1,981",660,"35,997","11,999","2,116",705
January 2023,PTV/FLAT,Panelmarket,LG,OLED55CXPVA,OLED-DISPLAY,55,3840x2160,NO LED,Ultra HD/4k (3840x2160p),Smart TV,NOT CURVED,DVB-T/T2/S/C,3,"2,971",990,"53,997","17,999","3,174","1,058"
January 2023,PTV/FLAT,Panelmarket,LG,75QNED856QA,LCD-DISPLAY,75,3840x2160,LED,Ultra HD/4k (3840x2160p),Smart TV,NOT CURVED,DVB-T/T2/S/C,3,"8,484","3,179","154,164","57,775","9,063","3,396"
January 2023,PTV/FLAT,Panelmarket,LG,82UN8080PVA,LCD-DISPLAY,82,3840x2160,LED,Ultra HD/4k (3840x2160p),Smart TV,NOT CURVED,DVB-T/T2/S/C,1,"1,926","1,926","34,999","34,999","2,058","2,058"
January 2023,PTV/FLAT,Panelmarket,LG,65QNED856QA,LCD-DISPLAY,65,3840x2160,LED,Ultra HD/4k (3840x2160p),Smart TV,NOT CURVED,DVB-T/T2/S/C,1,"1,555","1,555","28,260","28,260","1,661","1,661"
January 2023,PTV/FLAT,Panelmarket,LG,OLED65C1PVB,OLED-DISPLAY,65,3840x2160,NO LED,Ultra HD/4k (3840x2160p),Smart TV,NOT CURVED,DVB-T/T2/S/C,6,"13,426","2,169","243,984","39,416","14,343","2,317"
January 2023,PTV/FLAT,Panelmarket,LG,65NANO80VPA,LCD-DISPLAY,65,3840x2160,LED,Ultra HD/4k (3840x2160p),Smart TV,NOT CURVED,DVB-T/T2/S/C,2,"1,255",627,"22,799","11,399","1,340",670
January 2023,PTV/FLAT,Panelmarket,LG,70UN7070PVA,LCD-DISPLAY,70,3840x2160,LED,Ultra HD/4k (3840x2160p),Smart TV,NOT CURVED,DVB-T/T2/S/C,8,"5,695",712,"103,492","12,937","6,084",761
January 2023,PTV/FLAT,Panelmarket,LG,65SM8600PVA,LCD-DISPLAY,65,3840x2160,LED,Ultra HD/4k (3840x2160p),Smart TV,NOT CURVED,DVB-T/T2,5,"5,248","1,029","95,367","18,699","5,606","1,099"
January 2023,PTV/FLAT,Panelmarket,LG,43UJ630V,LCD-DISPLAY,43,3840x2160,LED,Ultra HD/4k (3840x2160p),Smart TV,NOT CURVED,DVB-T/T2/S/C,5,"1,992",391,"36,207","7,099","2,129",417
January 2023,PTV/FLAT,Panelmarket,LG,75NANO90VNA,LCD-DISPLAY,75,3840x2160,LED,Ultra HD/4k (3840x2160p),Smart TV,NOT CURVED,DVB-T/T2/S/C,1,"2,146","2,146","38,999","38,999","2,293","2,293"
January 2023,PTV/FLAT,Panelmarket,LG,55NANO79VND,LCD-DISPLAY,55,3840x2160,LED,Ultra HD/4k (3840x2160p),Smart TV,NOT CURVED,DVB-T/T2/S/C,1,440,440,"7,999","7,999",470,470
January 2023,PTV/FLAT,Panelmarket,LG,65UM7340PVA,LCD-DISPLAY,65,3840x2160,LED,Ultra HD/4k (3840x2160p),Smart TV,NOT CURVED,DVB-T/T2/S/C,3,"2,189",715,"39,777","12,999","2,338",764
January 2023,PTV/FLAT,Panelmarket,LG,OLED65C9PVA,OLED-DISPLAY,65,3840x2160,NO LED,Ultra HD/4k (3840x2160p),Smart TV,NOT CURVED,DVB-T/T2/S/C,2,"3,500","1,733","63,598","31,484","3,739","1,851"
